date,value
2014-01-01,100.00
2014-02-01,100.45
2014-03-01,101.20
2014-04-01,102.10
2014-05-01,103.05
2014-06-01,103.80
2014-07-01,104.50
2014-08-01,104.90
2014-09-01,105.30
2014-10-01,105.85
2014-11-01,106.20
2014-12-01,106.75
2015-01-01,107.30
2015-02-01,107.65
2015-03-01,108.20
2015-04-01,108.95
2015-05-01,109.40
2015-06-01,110.10
2015-07-01,110.55
2015-08-01,111.20
2015-09-01,111.65
2015-10-01,112.30
2015-11-01,112.75
2015-12-01,113.40
2016-01-01,114.05
2016-02-01,114.50
2016-03-01,115.20
2016-04-01,115.85
2016-05-01,116.40
2016-06-01,117.10
2016-07-01,117.70
2016-08-01,118.35
2016-09-01,118.90
2016-10-01,119.55
2016-11-01,120.05
2016-12-01,120.70
2017-01-01,121.35
2017-02-01,121.85
2017-03-01,122.50
2017-04-01,123.10
2017-05-01,123.65
2017-06-01,124.30
2017-07-01,124.80
2017-08-01,125.45
2017-09-01,125.95
2017-10-01,126.60
2017-11-01,127.15
2017-12-01,127.85
2018-01-01,128.50
2018-02-01,129.05
2018-03-01,129.75
2018-04-01,130.40
2018-05-01,131.10
2018-06-01,131.85
2018-07-01,132.55
2018-08-01,133.30
2018-09-01,134.05
2018-10-01,134.85
2018-11-01,135.40
2018-12-01,136.15
2019-01-01,136.85
2019-02-01,137.40
2019-03-01,138.15
2019-04-01,138.90
2019-05-01,139.55
2019-06-01,140.30
2019-07-01,141.00
2019-08-01,141.70
2019-09-01,142.35
2019-10-01,143.15
2019-11-01,143.80
2019-12-01,144.60
2020-01-01,145.35
2020-02-01,146.05
2020-03-01,146.80
2020-04-01,147.50
2020-05-01,148.20
2020-06-01,149.00
2020-07-01,149.80
2020-08-01,150.65
2020-09-01,151.45
2020-10-01,152.30
2020-11-01,153.10
2020-12-01,154.00
2021-01-01,154.90
2021-02-01,155.75
2021-03-01,156.65
2021-04-01,157.55
2021-05-01,158.50
2021-06-01,159.45
2021-07-01,160.35
2021-08-01,161.30
2021-09-01,162.25
2021-10-01,163.25
2021-11-01,164.20
2021-12-01,165.20
2022-01-01,166.25
2022-02-01,167.30
2022-03-01,168.40
2022-04-01,169.55
2022-05-01,170.75
2022-06-01,171.95
2022-07-01,173.10
2022-08-01,174.30
2022-09-01,175.45
2022-10-01,176.65
2022-11-01,177.75
2022-12-01,178.90
2023-01-01,180.10
2023-02-01,181.25
2023-03-01,182.45
2023-04-01,183.60
2023-05-01,184.75
2023-06-01,185.90
2023-07-01,187.05
2023-08-01,188.25
2023-09-01,189.40
2023-10-01,190.60
2023-11-01,191.75
2023-12-01,192.95
2024-01-01,194.15
2024-02-01,195.30
2024-03-01,196.50
2024-04-01,197.70
2024-05-01,198.85
2024-06-01,200.05
2024-07-01,201.20
2024-08-01,202.40
2024-09-01,203.55
2024-10-01,204.75
2024-11-01,205.90
2024-12-01,207.10
