date,value
2014-01-01,61.80
2014-02-01,62.15
2014-03-01,62.50
2014-04-01,62.85
2014-05-01,63.20
2014-06-01,63.55
2014-07-01,63.90
2014-08-01,64.25
2014-09-01,64.60
2014-10-01,64.95
2014-11-01,65.30
2014-12-01,65.65
2015-01-01,66.00
2015-02-01,66.35
2015-03-01,66.70
2015-04-01,67.05
2015-05-01,67.40
2015-06-01,67.75
2015-07-01,68.10
2015-08-01,68.45
2015-09-01,68.80
2015-10-01,69.15
2015-11-01,69.50
2015-12-01,69.85
2016-01-01,70.20
2016-02-01,70.55
2016-03-01,70.90
2016-04-01,71.25
2016-05-01,71.60
2016-06-01,71.95
2016-07-01,72.30
2016-08-01,72.65
2016-09-01,73.00
2016-10-01,73.35
2016-11-01,73.70
2016-12-01,74.05
2017-01-01,74.40
2017-02-01,74.75
2017-03-01,75.10
2017-04-01,75.45
2017-05-01,75.80
2017-06-01,76.15
2017-07-01,76.50
2017-08-01,76.85
2017-09-01,77.20
2017-10-01,77.55
2017-11-01,77.90
2017-12-01,78.25
2018-01-01,78.60
2018-02-01,78.95
2018-03-01,79.30
2018-04-01,79.65
2018-05-01,80.00
2018-06-01,80.35
2018-07-01,80.70
2018-08-01,81.05
2018-09-01,81.40
2018-10-01,81.75
2018-11-01,82.10
2018-12-01,82.45
2019-01-01,82.80
2019-02-01,83.15
2019-03-01,83.50
2019-04-01,83.85
2019-05-01,84.20
2019-06-01,84.55
2019-07-01,84.90
2019-08-01,85.25
2019-09-01,85.60
2019-10-01,85.95
2019-11-01,86.30
2019-12-01,86.65
2020-01-01,87.00
2020-02-01,87.35
2020-03-01,87.70
2020-04-01,88.05
2020-05-01,88.40
2020-06-01,88.75
2020-07-01,89.10
2020-08-01,89.45
2020-09-01,89.80
2020-10-01,90.15
2020-11-01,90.50
2020-12-01,90.85
2021-01-01,91.20
2021-02-01,91.55
2021-03-01,91.90
2021-04-01,92.25
2021-05-01,92.60
2021-06-01,92.95
2021-07-01,93.30
2021-08-01,93.65
2021-09-01,94.00
2021-10-01,94.35
2021-11-01,94.70
2021-12-01,95.05
2022-01-01,95.40
2022-02-01,95.75
2022-03-01,96.10
2022-04-01,96.45
2022-05-01,96.80
2022-06-01,97.15
2022-07-01,97.50
2022-08-01,97.85
2022-09-01,98.20
2022-10-01,98.55
2022-11-01,98.90
2022-12-01,99.25
2023-01-01,99.60
2023-02-01,99.95
2023-03-01,100.30
2023-04-01,100.65
2023-05-01,101.00
2023-06-01,101.35
2023-07-01,101.70
2023-08-01,102.05
2023-09-01,102.40
2023-10-01,102.75
2023-11-01,103.10
2023-12-01,103.45
2024-01-01,103.80
2024-02-01,104.15
2024-03-01,104.50
2024-04-01,104.85
2024-05-01,105.20
2024-06-01,105.55
2024-07-01,105.90
2024-08-01,106.25
2024-09-01,106.60
2024-10-01,106.95
2024-11-01,107.30
2024-12-01,107.65
